Gripper,Object,Close Gripper Force,Shake Gripper Amplitude,Force Move XYZ,Success_Count,dim_x,dim_y,dim_z
flatgelsight_gripper,large_clamp,400,0.3,"[-0.01, 0.02, 0.118]",10,0.120721,0.171667,0.039871
flatgelsight_gripper,large_clamp,400,0.3,"[-0.01, 0.02, 0.12]",0,0.120721,0.171667,0.039871
flatgelsight_gripper,large_clamp,400,0.5,"[-0.01, 0.02, 0.118]",10,0.120721,0.171667,0.039871
flatgelsight_gripper,large_clamp,400,0.5,"[-0.01, 0.02, 0.12]",0,0.120721,0.171667,0.039871
flatgelsight_gripper,large_clamp,500,0.1,"[-0.01, 0.02, 0.118]",9,0.120721,0.171667,0.039871
flatgelsight_gripper,large_clamp,500,0.1,"[-0.01, 0.02, 0.12]",0,0.120721,0.171667,0.039871
flatgelsight_gripper,large_clamp,500,0.3,"[-0.01, 0.02, 0.118]",10,0.120721,0.171667,0.039871
flatgelsight_gripper,large_clamp,500,0.3,"[-0.01, 0.02, 0.12]",0,0.120721,0.171667,0.039871
flatgelsight_gripper,large_clamp,500,0.5,"[-0.01, 0.02, 0.118]",10,0.120721,0.171667,0.039871
flatgelsight_gripper,large_clamp,500,0.5,"[-0.01, 0.02, 0.12]",0,0.120721,0.171667,0.039871
geltip_gripper,cracker_box,30,0.1,"[0.0, 0.0, 0.149]",10,0.073332,0.164998,0.214759
geltip_gripper,cracker_box,30,0.1,"[0.0, 0.0, 0.155]",10,0.073332,0.164998,0.214759
geltip_gripper,cracker_box,30,0.3,"[0.0, 0.0, 0.149]",10,0.073332,0.164998,0.214759
geltip_gripper,cracker_box,30,0.3,"[0.0, 0.0, 0.155]",10,0.073332,0.164998,0.214759
geltip_gripper,cracker_box,30,0.5,"[0.0, 0.0, 0.149]",10,0.073332,0.164998,0.214759
geltip_gripper,cracker_box,30,0.5,"[0.0, 0.0, 0.155]",10,0.073332,0.164998,0.214759
geltip_gripper,cracker_box,40,0.1,"[0.0, 0.0, 0.149]",10,0.073332,0.164998,0.214759
geltip_gripper,cracker_box,40,0.1,"[0.0, 0.0, 0.155]",10,0.073332,0.164998,0.214759
geltip_gripper,cracker_box,40,0.3,"[0.0, 0.0, 0.149]",10,0.073332,0.164998,0.214759
geltip_gripper,cracker_box,40,0.3,"[0.0, 0.0, 0.155]",10,0.073332,0.164998,0.214759
geltip_gripper,cracker_box,40,0.5,"[0.0, 0.0, 0.149]",10,0.073332,0.164998,0.214759
geltip_gripper,cracker_box,40,0.5,"[0.0, 0.0, 0.155]",10,0.073332,0.164998,0.214759
